ID,Pol,Godine,SkolaPoTipu,SkolaPoRegionu,Uspeh,EkonomskiPolozaj,ImaKomp,ZadovoljanPristupom,NetKablovski,NetWirKomp,NetWirMobilni,NetADSL,NeZnaNet,KolikoDugo,KolikoNedeljno,KolikNajduze,Predhodnih6meseci,DaMozeDaLiBi,Sadrzaj1,Sadrzaj2,Sadrzaj3,Sadrzaj4,Sadrzaj5,Sadrzaj6,Sadrzaj7,Sadrzaj8,Sadrzaj9,Sadrzaj10,Sadrzaj11,Sadrzaj12,Sadrzaj13,Aktivnost1,Aktivnost2,Aktivnost3,Aktivnost4,Aktivnost5,Aktivnost6,Aktivnost7,Aktivnost8,Aktivnost9,Aktivnost10,Aktivnost11,Aktivnost12,Aktivnost13,Aktivnost14,PROT_SADR_AKT,RISK_SADR_AKT,DaLiSvakodnevnoFb,BrojaSatiFB,NemaFB,FBcitaPostove,FBpiseStatuse,FBdeliMuzikuFotografijeIsl,FBigraIgrice,FBcetuje,FBgrupe,FBupotreba,FBdrugo,BrojDana,IntenzitetFizAkt,KolikoTrajeAkt,EnergetskoP,EnergetskoPml,Grickalice,Pusac,KolikoCigareta,Kafa_bin,Alkohol_bin,Droga,TEMPS1,TEMPS2,TEMPS3,TEMPS4,TEMPS5,TEMPS6,TEMPS7,TEMPS8,TEMPS9,TEMPS10,TEMPS11,TEMPS12,TEMPS13,TEMPS14,TEMPS15,TEMPS16,TEMPS17,TEMPS18,TEMPS19,TEMPS20,TEMPS21,TEMPS22,TEMPS23,TEMPS24,TEMPS25,TEMPS26,TEMPS27,TEMPS28,TEMPS29,TEMPS30,TEMPS31,TEMPS32,TEMPS33,TEMPS34,TEMPS35,TEMPS36,Depresivan,Ciklotimicni,Hipertimicni,Iritabilni,Anksiozni,Temper_bin,Internet1,Internet2,Internet3,Internet4,Internet5,Internet6,Internet7,Internet8,Internet9,Internet10,Internet11,Internet12,Internet13,Internet14,Internet15,Internet16,Internet17,Internet18,NKP,PI,SPO,PUI,PUIcutoff
1702,0,17,2,2,2,2,1,3,0,0,1,0,0,3,3,1,2,0,1,1,1,1,1,3,1,1,5,1,3,1,1,3,5,1,4,4,1,1,3,3,1,3,4,3,1,25,32, ,5,0,1,1,1,1,1,1,6,0,2,1,45,1,500,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.857142857142857,1.0,0.375,0.857142857142857,1.0,0,5,3,5,5,5,5,4,1,2,4,1,1,3,5,3,5,5,4,34,19,13,66,1.0
1703,1,17,2,2,2,2,1,4,1,0,0,0,0,2,4,1,1,0,1,3,3,4,4,4,5,3,5,4,4,5,1,1,5,2,3,4,2,2,5,1,4,5,5,5,4,43,48,2,5,0,0,0,0,0,1,0,1,0,3,1,45,1,500,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0.42857142857142894,0.857142857142857,0.625,0.5714285714285711,0.42857142857142894,0,2,3,2,2,5,2,2,1,1,1,1,1,3,2,2,2,2,3,19,11,7,37,0.0
1704,0,17,2,2,3,3,1,5,0,1,0,1,0,5,4,2,1,0,1,1,3,2,3,3,3,1,5,5,4,3,1,1,4,1,3,4,2,1,4,2,1,4,5,4,1,33,36,2,5,0,0,0,1,0,1,0,2,0,4,1,60,0,0, ,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.14285714285714302,0.5714285714285711,1.0,0.28571428571428603,0.14285714285714302,1,3,1,1,1,2,2,4,2,1,1,1,1,1,3,1,3,1,1,16,10,4,30,0.0
1705,0,17,2,2,2,3,1,3,0,0,0,1,0,7,3,1,2,0,1,2,2,1,3,3,3,1,5,2,2,4,1,1,5,1,1,4,4,1,4,2,3,1,4,5,1,30,35,2,5,0,1,1,1,1,1,1,6,0,2,1,45,1,500,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0.28571428571428603,0.42857142857142894,0.875,0.28571428571428603,0.5714285714285711,1,5,2,5,5,5,5,5,3,4,5,3,2,5,5,5,5,5,5,37,24,18,79,1.0
1706,0,17,2,2,4,4,1,5,0,0,0,1,0,6,2,1,1,0,1,1,2,2,4,3,3,1,5,4,5,3,2,4,3,2,2,4,3,2,4,5,2,3,5,4,1,38,40,0,0,1,0,0,0,0,0,0,0,0,5,1,60,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.14285714285714302,0.14285714285714302,0.625,0.28571428571428603,0.14285714285714302,1,2,1,2,1,1,2,1,1,1,2,1,2,1,2,3,3,1,1,12,11,5,28,0.0
1707,0,16,2,2,2,4,1,4,0,0,0,1,0,3,5,1,2,1,2,1,2,3,3,4,4,1,5,5,4,3,3,1,5,1,3,5,4,2,5,4,2,3,5,3,1,39,43,2,6,0,1,1,1,0,0,1,4,0,1,1,30,1,500,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0.42857142857142894,0.857142857142857,0.75,0.42857142857142894,0.7142857142857142,0,5,2,1,3,2,4,2,1,2,5,3,1,3,5,3,5,4,3,22,17,15,54,1.0
1708,0,17,2,2,3,3,1,5,0,0,1,0,0,5, ,4,0,0,1,1,1,1,2,3,3,1,5,3,5,5,1,5,5,2,2,4,4,3,4,4,1,4,4,5,2,39,41,2,2,0,1,0,1,0,0,0,2,0,4,2,60,0, ,0,0,10,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0.42857142857142894,0.5714285714285711,0.875,0.7142857142857142,0.5714285714285711,1,3,4,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,13,11,4,28,0.0
1709,0,17,2,2,3,3,1,5,0,0,0,1,0,5,1,1,2,0,2,1,1,3,1,5,4,1,5,3,5,4,1,4,5,1,3,5,5,1,5,1,2,1,3,5,2,36,42,2,1,0,1,0,0,0,1,0,2,0,2,1,45,1,200,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0.28571428571428603,0.857142857142857,0.625,0.5714285714285711,0.14285714285714302,0,4,5,2,5,5,5,5,1,1,1,1,1,1,5,2,2,3,3,30,16,6,52,1.0
1710,1,17,1,2,3,4,1,5,0,0,0,1,0,7,5,1,0,0,1,2,4,3,3,3,3,4,5,1,3,3,2,3,4,1,3,5,3,1,5,3,3,2,5,3,1,32,43,2,2,0,0,0,1,0,1,1,3,0,4,2,120,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0.0,0.42857142857142894,0.75,0.7142857142857142,0.0,1,3,2,1,1,1,1,1,1,1,1,2,3,2,3,2,2,3,4,17,9,8,34,0.0
1711,1,17,1,2,2,4,1,4,0,0,0,1,0,4,6,1,1,0,2,4,5,5,2,4,1,5,5,3,2,2,2,1,5,2,1,5,5,1,5,5,3,3,5,5,1,34,50,2,7,0,1,1,1,1,1,1,6,0,5,3,120,1,250,1,0,20,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0.14285714285714302,0.14285714285714302,1.0,0.5714285714285711,0.42857142857142894,1,5,3,1,3,3,3,3,1,1,3,1,1,1,3,3,3,3,3,22,14,8,44,1.0
1712,1,16,1,2,4,3,1,4,0,0,0,1,0,5,4,1,1,0,1,2,5,3,2,4,3,4,4,3,4,4,3,3,4,2,5,5,4,3,2,3,4,4,5,3,3,39,48,2,1,0,0,0,0,0,1,0,1,0,7,2,90,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714302,1.0,0.0,0.0,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,11,7,5,23,0.0
1713,1,17,1,2,3,4,1,4,0,0,0,1,0,5,6,1,1,0,1,3,5,4,3,4,1,5,5,3,2,2,2,2,5,3,3,5,4,1,5,5,4,3,5,4,1,33,52,2,7,0,1,1,1,1,1,1,6,0,5,3,100,1,250,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0.14285714285714302,0.5714285714285711,1.0,0.42857142857142894,0.28571428571428603,1,5,1,3,5,5,3,4,2,1,4,3,2,4,5,3,4,4,3,32,14,15,61,1.0
